Fecha Publicación,OP,Entidad,Dispositivo,Número,Sumilla,Link,Fecha Corte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367633-1,ECONOMIA Y FINANZAS,DECRETO SUPREMO,N° 012-2025-EF,Decreto Supremo que aprueba las Normas Reglamentarias para la aplicación de la Quinta Disposición Complementaria Final de la Ley Nº 32185 Ley de Presupuesto del Sector Público para el Año Fiscal 2025,https://busquedas.elperuano.pe/dispositivo/NL/2367633-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367633-2,ECONOMIA Y FINANZAS,DECRETO SUPREMO,N° 013-2025-EF,Decreto Supremo que autoriza una Transferencia de Partidas en el Presupuesto del Sector Público para el Año Fiscal 2025 a favor de los gobiernos regionales y diversos gobiernos locales,https://busquedas.elperuano.pe/dispositivo/NL/2367633-2,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367651-1,ECONOMIA Y FINANZAS,DECRETO SUPREMO,N° 014-2025-EF,Decreto Supremo que autoriza Transferencia de Partidas en el Presupuesto del Sector Público para el Año Fiscal 2025 a favor de la Procuraduría General del Estado,https://busquedas.elperuano.pe/dispositivo/NL/2367651-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367165-2,ECONOMIA Y FINANZAS,DECRETO SUPREMO,N° 011-2025-EF,Decreto Supremo que aprueba la formalización de los Créditos Suplementarios del Tercer Trimestre del Año Fiscal 2024 en el presupuesto consolidado de las empresas y organismos públicos de los gobiernos regionales y gobiernos locales,https://busquedas.elperuano.pe/dispositivo/NL/2367165-2,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366930-1,ECONOMIA Y FINANZAS,RESOLUCION DIRECTORAL,N° 0002-2025-EF/51.01,Aprueban incorporar cuentas y subcuentas al Plan Contable Gubernamental correspondientes al ejercicio fiscal 2024,https://busquedas.elperuano.pe/dispositivo/NL/2366930-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366964-1,ECONOMIA Y FINANZAS,RESOLUCION MINISTERIAL,N° 022-2025-EF/10,Autorizan viaje de Superintendente Nacional de Aduanas y de Administración Tributaria a Panamá en comisión de servicios,https://busquedas.elperuano.pe/dispositivo/NL/2366964-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366971-1,ECONOMIA Y FINANZAS,RESOLUCION MINISTERIAL,N° 023-2025-EF/50,Resolución Ministerial que aprueba los montos máximos de recursos que corresponden a cada municipalidad que cumpla las metas de los indicadores evaluados del Tramo I y Tramo II del año 2024 del Programa de Incentivos a la Mejora de la Gestión Municipal,https://busquedas.elperuano.pe/dispositivo/NL/2366971-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367505-1,EDUCACION,RESOLUCION MINISTERIAL,N° 045-2025-MINEDU,Aprueban Norma Técnica denominada Disposiciones generales para el financiamiento monitoreo y rendición de cuentas de proyectos de innovación y desarrollo educativo – 2025 bajo la modalidad de subvenciones,https://busquedas.elperuano.pe/dispositivo/NL/2367505-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367508-1,EDUCACION,RESOLUCION MINISTERIAL,N° 049-2025-MINEDU,Aprueban la Norma Técnica Disposiciones para la Ejecución del Acondicionamiento de Locales Educativos para la Mejora de Condiciones de Accesibilidad y para la Atención de Estudiantes con Necesidades Educativas Especiales Asociadas a Discapacidad para el Año 2025,https://busquedas.elperuano.pe/dispositivo/NL/2367508-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366773-1,JUSTICIA Y DERECHOS HUMANOS,RESOLUCION,N° 004-2025-PMSAJ-EJENOPENAL,Delegan determinadas facultades y atribuciones en el Jefe de la Unidad de Administración y Finanzas del Programa Mejoramiento de los servicios de Justicia no Penales a través de la implementación del Expediente Judicial Electrónico (EJE),https://busquedas.elperuano.pe/dispositivo/NL/2366773-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
